name,category,score,score_count,review_count,address,detail_url
김돈이 본점,"육류,고기",3.8,105,182,서울 강남구 선릉로94길 9,https://place.map.kakao.com/12890589
진전복삼계탕 본점,삼계탕,4.2,40,112,서울 강남구 선릉로129길 21 1층,https://place.map.kakao.com/1117702712
별양집,"곱창,막창",4.6,187,78,"서울 강남구 테헤란로43길 17 지하1층,1층",https://place.map.kakao.com/7891890
마초갈비 선릉역점,갈비,3.9,155,85,서울 강남구 선릉로93길 11 1층,https://place.map.kakao.com/163803143
멍텅구리꼼장어 삼성본점,"곱창,막창",4.0,26,54,서울 강남구 봉은사로 445 1층,https://place.map.kakao.com/14921215
경천애인2237 삼성본점,"육류,고기",4.2,98,111,서울 강남구 테헤란로 421 암천빌딩 3층,https://place.map.kakao.com/21306153
대도식당 삼성점,"육류,고기",3.4,47,93,서울 강남구 삼성로 545 1~3층,https://place.map.kakao.com/27388660
칠백식당 삼성직영점,"육류,고기",3.5,12,66,서울 강남구 봉은사로63길 7,https://place.map.kakao.com/23495256
뽕나무쟁이 선릉본점,"족발,보쌈",4.2,204,551,서울 강남구 역삼로65길 31,https://place.map.kakao.com/11190567
개그맨정용국의용곱창,"곱창,막창",4.2,31,38,서울 강남구 언주로108길 8 1층,https://place.map.kakao.com/814556502
삼미대포 선릉점,"육류,고기",4.0,7,24,서울 강남구 선릉로93길 15 2H타워 1층,https://place.map.kakao.com/56937640
청춘화로 선릉점,"육류,고기",3.2,13,25,서울 강남구 선릉로93길 10 1층,https://place.map.kakao.com/499917237
아리양,갈비,4.4,27,584,서울 강남구 봉은사로 317 1층,https://place.map.kakao.com/16766210
흑돈가 삼성역점,"육류,고기",2.2,73,43,"서울 강남구 봉은사로86길 14 1,2층",https://place.map.kakao.com/8686213
초가집삼계탕,삼계탕,4.3,30,37,서울 강남구 테헤란로55길 15,https://place.map.kakao.com/9515467
이층고깃집 강남구청역점,"육류,고기",4.4,122,347,서울 강남구 선릉로129길 9-4 2층,https://place.map.kakao.com/423334112
탐라도야지,"육류,고기",3.1,23,183,서울 강남구 삼성로104길 13,https://place.map.kakao.com/27285836
그때그집,"족발,보쌈",4.1,18,26,서울 강남구 선릉로129길 17,https://place.map.kakao.com/9661372
홍백,"육류,고기",3.9,25,29,서울 강남구 삼성로 571,https://place.map.kakao.com/16616501
진대감 선릉점,"육류,고기",4.5,120,1644,서울 강남구 테헤란로70길 25,https://place.map.kakao.com/26565017
팔당닭발&오징어 강남본점,닭요리,4.6,135,196,서울 강남구 학동로45길 3 1층,https://place.map.kakao.com/20943718
곰바위,"곱창,막창",3.8,14,16,서울 강남구 삼성로 542,https://place.map.kakao.com/10157717
황소곱창,"곱창,막창",4.3,14,112,서울 강남구 봉은사로82길 16 1층,https://place.map.kakao.com/333031201
한가네숯불닭갈비 역삼점,닭요리,3.2,13,41,서울 강남구 테헤란로55길 15,https://place.map.kakao.com/27524650
봉산집,"육류,고기",2.9,30,33,서울 강남구 삼성로 564,https://place.map.kakao.com/15105092
벽돌집60-5,삼겹살,4.4,42,14,서울 강남구 테헤란로81길 60-5 1층,https://place.map.kakao.com/1931483227
육성급,"육류,고기",4.5,43,182,서울 강남구 테헤란로79길 25 1층,https://place.map.kakao.com/1572981106
세종한우 학동역점,"육류,고기",3.8,51,131,서울 강남구 학동로 219,https://place.map.kakao.com/13102233
팔당족발,"족발,보쌈",4.6,237,520,서울 강남구 학동로45길 7 2층 201호,https://place.map.kakao.com/1284801093
해몽,갈비,4.2,71,253,서울 강남구 학동로41길 32 1층,https://place.map.kakao.com/13294737
사람사는고깃집 김일도 논현점,"육류,고기",3.2,14,63,서울 강남구 봉은사로37길 10 1층,https://place.map.kakao.com/191243479
진대감 삼성점,"육류,고기",3.5,34,31,서울 강남구 테헤란로81길 47,https://place.map.kakao.com/27028634
노란상소갈비 강남구청점,갈비,3.9,67,170,서울 강남구 선릉로131길 22 1층,https://place.map.kakao.com/1997921938
신촌황소곱창 선릉직영점,"곱창,막창",3.3,44,39,서울 강남구 선릉로86길 32 1층,https://place.map.kakao.com/23372949
명인등심 삼성직영점,"육류,고기",3.6,27,61,서울 강남구 봉은사로86길 30 3층,https://place.map.kakao.com/27274125
